Region,Sub-Region,Transmission Station,Sub-Station
Kaduna,Birnin Kebbi Sub-region (Proposed),Birnin Kebbi 330/132/33kV T/S,Sokoto 132kV S/S
,,,
Kano,Kano Sub-region,Kumbotso 330/132kV T/S,Kumbotso 132/33kV S/S
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Dakata 132/33kV S/S
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Dan-Agundi 132/33kV S/S
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Kwana-Dangora 132/33kV S/S
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Wudil 132/33kV S/S
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Bichi 132/33kV
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Tambarawa 132/33kV S/S
Kano,Kano Sub-region,Rimin Zakara 330/132kV,Walalambe 132/33kV S/S
Kano,Katsina Sub-region,Rimin Zakara 330/132kV,Katsina 132/33kV S/S
Kano,Katsina Sub-region,Rimin Zakara 330/132kV,Daura 132/33kV S/S
Kano,Katsina Sub-region,Rimin Zakara 330/132kV,Kankia 132/33kV S/S
Kano,Dutse Sub-region,Rimin Zakara 330/132kV,Dutse 132/33kV S/S
Kano,Dutse Sub-region,Rimin Zakara 330/132kV,Hadejia 132/33kV S/S
Kano,Dutse Sub-region,Rimin Zakara 330/132kV,Gagarawa 132/33kV S/S
Kano,Dutse Sub-region,Rimin Zakara 330/132kV,Azare 132/33kV S/S
,,,
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Akangba 132/33kV substation
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Ijora 132/33kV substation
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Ilupeju 132/33kV substation
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Isolo 132/33kV substation
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Itire 132/33kV substation
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Illashe 132/33kV substation
